data_compra;id_marca;vendas;valor_venda;nome;;id_marca;marca;;Qual ve’culo gerou a maior e menor receita?;
01/11/2022;9;5;40000;onix;;;;;;
01/11/2022;10;1;12000;J2;;;;;;
01/11/2022;11;10;42000;Clio;;;;;;
01/12/2022;1;32;72000;Mobi;;;;;;
01/12/2022;2;24;68000;Up;;;;;;
01/12/2022;3;19;49000;Picanto;;;;;;
01/12/2022;4;1;90000;2008;;;;;;
01/12/2022;5;3;75000;Yaris;;;;;;
01/12/2022;1;1;15000;Palio;;;;;;
01/12/2022;7;5;280000;Pajero;;;;;;
01/12/2022;8;12;360000;Forester;;;;;;
01/12/2022;3;2;45000;Cerato;;;;;;
01/12/2022;10;1;12000;J2;;;;;;
01/12/2022;11;6;52000;Sandero;;;;;;

